2021-01-01 00:00:00 Launching analysis for 1888380397 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2020-12-30 00:00:00 Algorithm warming up...
2021-01-01 00:00:00 Algorithm finished warming up.
2021-01-15 00:00:00 ROC: 2.3168207388275452
2021-01-16 00:00:00 ROC: 0.7760928550481153
2021-01-20 00:00:00 ROC: -2.4367479979132884
2021-01-21 00:00:00 ROC: 6.448082290203216
2021-01-22 00:00:00 ROC: 11.082430422501734
2021-01-23 00:00:00 ROC: 18.754395476310023
2021-01-26 00:00:00 ROC: 9.749973427481704
2021-01-27 00:00:00 ROC: 8.587343095814994
2021-01-28 00:00:00 ROC: 13.729588107490642
2021-01-29 00:00:00 ROC: 5.014359255157242
2021-01-30 00:00:00 ROC: 4.528710906793621
2021-02-02 00:00:00 ROC: -0.46756745482053913
2021-02-03 00:00:00 ROC: 9.511197406771341
2021-02-04 00:00:00 ROC: 10.039988153124236
2021-02-05 00:00:00 ROC: 1.6872076301341283
2021-02-06 00:00:00 ROC: 2.730674858438027
2021-02-09 00:00:00 ROC: 4.755279116915005
2021-02-10 00:00:00 ROC: 3.920243100829405
2021-02-11 00:00:00 ROC: 3.7613609152204335
2021-02-12 00:00:00 ROC: 12.063526503800423
2021-02-13 00:00:00 ROC: 12.220141869725074
2021-02-17 00:00:00 ROC: 21.708852796117764
2021-02-18 00:00:00 ROC: 12.427923551772125
2021-02-19 00:00:00 ROC: 5.745431635881817
2021-02-20 00:00:00 ROC: 5.534028425615334
2021-02-23 00:00:00 ROC: 0.5853570825359413
2021-02-24 00:00:00 ROC: -8.167147060089318
2021-02-25 00:00:00 ROC: -10.730257271766677
2021-02-26 00:00:00 ROC: -8.536013643755258
2021-02-27 00:00:00 ROC: -17.50352040517499
2021-03-02 00:00:00 ROC: -17.594897952352675
2021-03-03 00:00:00 ROC: -11.906276030952188
2021-03-04 00:00:00 ROC: -15.42266104107995
2021-03-05 00:00:00 ROC: -21.668061881497948
2021-03-06 00:00:00 ROC: -24.524574234970377
2021-03-09 00:00:00 ROC: -20.091583304625498
2021-03-10 00:00:00 ROC: -20.78593496221033
2021-03-11 00:00:00 ROC: -10.663599730614866
2021-03-12 00:00:00 ROC: -13.50993574129919
2021-03-13 00:00:00 ROC: 3.2764473304020307
2021-03-16 00:00:00 ROC: -0.7845825689972826
2021-03-17 00:00:00 ROC: -5.824743841112165
2021-03-18 00:00:00 ROC: 0.5414185254590044
2021-03-19 00:00:00 ROC: 11.47735442908356
2021-03-20 00:00:00 ROC: 6.511165448329793
2021-03-23 00:00:00 ROC: 3.2473748225069152
2021-03-24 00:00:00 ROC: 18.916446674166384
2021-03-25 00:00:00 ROC: 4.998830462508552
2021-03-26 00:00:00 ROC: 0.5536591166008568
2021-03-27 00:00:00 ROC: -6.477194682182555
2021-03-30 00:00:00 ROC: 0.14686498841229118
2021-03-31 00:00:00 ROC: -3.010399612408374
2021-04-01 00:00:00 ROC: -5.934305036920735
2021-04-02 00:00:00 ROC: -2.935539890853143
2021-04-06 00:00:00 ROC: 12.308235403857491
2021-04-07 00:00:00 ROC: 17.55319116087746
2021-04-08 00:00:00 ROC: 11.340435005328727
2021-04-09 00:00:00 ROC: 13.648494365747627
2021-04-10 00:00:00 ROC: 23.43017790181998
2021-04-13 00:00:00 ROC: 26.348639240446758
2021-04-14 00:00:00 ROC: 20.530171049043286
2021-04-15 00:00:00 ROC: 24.729124198019935
2021-04-16 00:00:00 ROC: 22.086102271976905
2021-04-17 00:00:00 ROC: 22.00306128821402
2021-04-20 00:00:00 ROC: 16.59019372217805
2021-04-21 00:00:00 ROC: 6.984062776270884
2021-04-22 00:00:00 ROC: 4.8905533169210225
2021-04-23 00:00:00 ROC: 6.753451746636183
2021-04-24 00:00:00 ROC: -0.24677499499260144
2021-04-27 00:00:00 ROC: 1.668687397729214
2021-04-28 00:00:00 ROC: 4.0898482068208954
2021-04-29 00:00:00 ROC: -0.6786716003094843
2021-04-30 00:00:00 ROC: 1.8756448011967761
2021-05-01 00:00:00 ROC: -1.4549983568089022
2021-05-04 00:00:00 ROC: -3.711648320455069
2021-05-05 00:00:00 ROC: -2.629643760735887
2021-05-06 00:00:00 ROC: -5.696557355757115
2021-05-07 00:00:00 ROC: -9.095074902999327
2021-05-08 00:00:00 ROC: -3.5965735815188906
2021-05-11 00:00:00 ROC: -4.823028263878335
2021-05-12 00:00:00 ROC: -13.684590050040434
2021-05-13 00:00:00 ROC: -12.973765685144382
2021-05-14 00:00:00 ROC: -18.760929548653515
2021-05-15 00:00:00 ROC: -17.87276740081859
2021-05-18 00:00:00 ROC: -10.858259375594338
2021-05-19 00:00:00 ROC: -10.906518305323276
2021-05-20 00:00:00 ROC: -7.924638130408969
2021-05-21 00:00:00 ROC: -6.4952116412477485
2021-05-22 00:00:00 ROC: -3.2076589121486365
2021-05-25 00:00:00 ROC: -7.080930527382226
2021-05-26 00:00:00 ROC: 5.499998728434167
2021-05-27 00:00:00 ROC: 6.543132558258601
2021-05-28 00:00:00 ROC: 16.487255582728384
2021-05-29 00:00:00 ROC: 12.751079553815538
2021-06-02 00:00:00 ROC: 6.897983779288831
2021-06-03 00:00:00 ROC: 7.6735537687954745
2021-06-04 00:00:00 ROC: 10.555374807933283
2021-06-05 00:00:00 ROC: 6.687525227982879
2021-06-08 00:00:00 ROC: 6.026311492301667
2021-06-09 00:00:00 ROC: 8.76102109383281
2021-06-10 00:00:00 ROC: 3.6927309526529277
2021-06-11 00:00:00 ROC: 3.3113912329205117
2021-06-12 00:00:00 ROC: 5.4085577758148995
2021-06-15 00:00:00 ROC: 7.500002815967473
2021-06-16 00:00:00 ROC: 9.445367762263281
2021-06-17 00:00:00 ROC: 8.47524453265511
2021-06-18 00:00:00 ROC: 6.756750598222389
2021-06-19 00:00:00 ROC: 14.336257355951645
2021-06-22 00:00:00 ROC: 6.164643033056191
2021-06-23 00:00:00 ROC: 7.159201169675755
2021-06-24 00:00:00 ROC: 10.02666801112168
2021-06-25 00:00:00 ROC: 10.091307468084514
2021-06-26 00:00:00 ROC: 8.785526568331301
2021-06-29 00:00:00 ROC: 7.590185701220985
2021-06-30 00:00:00 ROC: 8.363020566205966
2021-07-01 00:00:00 ROC: 11.651546572470219
2021-07-02 00:00:00 ROC: 12.364707184010832
2021-07-03 00:00:00 ROC: 8.373862876791245
2021-07-07 00:00:00 ROC: 14.793008353423465
2021-07-08 00:00:00 ROC: 14.242499764487036
2021-07-09 00:00:00 ROC: 11.847686784806141
2021-07-10 00:00:00 ROC: 9.719222462203023
2021-07-13 00:00:00 ROC: 9.56056744626334
2021-07-14 00:00:00 ROC: 11.284147642902909
2021-07-15 00:00:00 ROC: 7.421713581978009
2021-07-16 00:00:00 ROC: 6.802667981389557
2021-07-17 00:00:00 ROC: 5.053063217474449
