2021-01-01 00:00:00 Launching analysis for 1446856053 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2020-12-30 00:00:00 Algorithm warming up...
2020-12-30 00:00:00 ROC = -1.0584084836689174
2020-12-31 00:00:00 ROC = -1.1290751400661079
2021-01-01 00:00:00 ROC = 0.8487262123677392
2021-01-01 00:00:00 Algorithm finished warming up.
2021-01-01 00:00:00 ROC = 0.8487262123677392
2021-01-05 00:00:00 ROC = -5.557363986191235
2021-01-06 00:00:00 ROC = 3.4420756771464625
2021-01-07 00:00:00 ROC = 0.5532680842702743
2021-01-08 00:00:00 ROC = 4.453440027397332
2021-01-09 00:00:00 ROC = 1.5856074205404425
2021-01-12 00:00:00 ROC = -1.5908243494640342
2021-01-13 00:00:00 ROC = -0.5710483823940444
2021-01-14 00:00:00 ROC = 1.6687771421886328
2021-01-15 00:00:00 ROC = -2.000003619335411
2021-01-16 00:00:00 ROC = -2.227004279458829
2021-01-20 00:00:00 ROC = 1.9895291656471918
2021-01-21 00:00:00 ROC = 3.2601323776115185
2021-01-22 00:00:00 ROC = 1.187034854270517
2021-01-23 00:00:00 ROC = 0.10954384717198216
2021-01-26 00:00:00 ROC = -0.4336975408363648
2021-01-27 00:00:00 ROC = -0.2892432011444247
2021-01-28 00:00:00 ROC = -6.103101100927804
2021-01-29 00:00:00 ROC = 0.615292492481642
2021-01-30 00:00:00 ROC = -4.668071900891982
2021-02-02 00:00:00 ROC = 3.8161406503098174
2021-02-03 00:00:00 ROC = 1.932125655189278
2021-02-04 00:00:00 ROC = -3.1559691808580146
2021-02-05 00:00:00 ROC = 2.1266151994075404
2021-02-06 00:00:00 ROC = 0.09506283879912944
2021-02-09 00:00:00 ROC = 0.3739730079495429
2021-02-10 00:00:00 ROC = 0.7794836358879274
2021-02-11 00:00:00 ROC = -2.0500052882547215
2021-02-12 00:00:00 ROC = 0.10169469048893491
2021-02-13 00:00:00 ROC = 2.35173706658804
2021-02-17 00:00:00 ROC = -1.5951664182323286
2021-02-18 00:00:00 ROC = 1.355544353296696
2021-02-19 00:00:00 ROC = 2.0757291108844593
2021-02-20 00:00:00 ROC = -2.619843655531817
2021-02-23 00:00:00 ROC = -3.8193792841831464
2021-02-24 00:00:00 ROC = 4.423619102847082
2021-02-25 00:00:00 ROC = 5.2659843142457765
2021-02-26 00:00:00 ROC = -8.073625809406444
2021-02-27 00:00:00 ROC = -1.2943889554657844
2021-03-02 00:00:00 ROC = 3.8988853533113597
2021-03-03 00:00:00 ROC = -5.320896445244968
2021-03-04 00:00:00 ROC = -7.693998245999163
2021-03-05 00:00:00 ROC = -4.525429315845823
2021-03-06 00:00:00 ROC = 1.786366757015822
2021-03-09 00:00:00 ROC = -8.021134009473883
2021-03-10 00:00:00 ROC = 3.8195725466874775
2021-03-11 00:00:00 ROC = -4.895812953166209
2021-03-12 00:00:00 ROC = 1.9770862756682444
2021-03-13 00:00:00 ROC = 1.5486962286090191
2021-03-16 00:00:00 ROC = 2.8600393934833526
2021-03-17 00:00:00 ROC = -0.524960234619693
2021-03-18 00:00:00 ROC = 4.327556344456857
2021-03-19 00:00:00 ROC = -4.709297167682111
2021-03-20 00:00:00 ROC = 1.4428191870188785
2021-03-23 00:00:00 ROC = 3.1713618680807665
2021-03-24 00:00:00 ROC = -2.3356887067891683
2021-03-25 00:00:00 ROC = -6.290477503461587
2021-03-26 00:00:00 ROC = 1.2884774934224812
2021-03-27 00:00:00 ROC = 4.638810491677884
2021-03-30 00:00:00 ROC = 0.40797894273227686
2021-03-31 00:00:00 ROC = 0.44853295380855
2021-04-01 00:00:00 ROC = 2.7818461484789205
2021-04-02 00:00:00 ROC = 1.3313632125490371
2021-04-06 00:00:00 ROC = 3.5128852558784556
2021-04-07 00:00:00 ROC = 0.05919253969268944
2021-04-08 00:00:00 ROC = 1.12837711909604
2021-04-09 00:00:00 ROC = 0.41936947110664446
2021-04-10 00:00:00 ROC = 3.124399254839462
2021-04-13 00:00:00 ROC = 0.5173992535970112
2021-04-14 00:00:00 ROC = 1.965311807336502
